id,answer
1,F
2,T
3,T
4,T
5,T
6,F
7,T
8,N
9,T
10,F
11,T
12,F
13,F
14,T
15,F
16,F
17,T
18,T
19,T
20,T
21,T
22,T
23,T
24,T
25,F
26,T
27,T
28,T
29,T
30,T
31,F
32,F
33,F
34,T
35,T
36,T
37,T
38,T
39,F
40,F
41,N
42,T
43,F
44,T
45,T
46,T
47,F
48,F
49,T
50,T
51,N
52,F
53,T
54,
55,F
56,T
57,N
58,F
59,F
60,T
61,T
62,F
63,T
64,T
65,F
66,T
67,F
68,F
69,T
70,T
71,T
72,T
73,T
74,T
75,F
76,T
77,F
78,T
79,F
80,F
81,F
82,T
83,F
84,T
85,T
86,T
87,T
88,F
89,F
90,T
91,T
92,T
93,F
94,T
95,F
96,T
97,T
98,T
99,F
100,T
